ID,Exercise_Name_VN,Exercise_Name_EN,Category,Type,Target_Muscle_Group,Difficulty_Level,Est_Calories_Burned_Per_30_Min,Equipment_Needed,Description_VN
1,Chạy phục hồi,Recovery Run,Running,Cardio,"Tim mạch, Chân",Beginner,200,Giày chạy,Chạy tốc độ rất chậm để cơ bắp phục hồi sau ngày tập nặng
2,Chạy bền (Zone 2),Zone 2 Base Run,Running,Cardio,"Tim mạch, Toàn thân",Beginner,300,Giày chạy,"Chạy tốc độ chậm đến vừa, duy trì nhịp tim ở vùng 2 (vừa chạy vừa nói chuyện được)"
3,Chạy biến tốc,Interval Running,Running,Cardio/Power,"Tim mạch, Đùi, Mông",Intermediate,400,Giày chạy,Chạy nước rút cực nhanh xen kẽ các đoạn đi bộ hoặc chạy chậm để phục hồi
4,Chạy nhịp độ,Tempo Run,Running,Cardio,"Tim mạch, Chân",Intermediate,350,Giày chạy,Chạy ở tốc độ hơi khó nhưng có thể duy trì liên tục trong 20-30 phút
5,Chạy dốc,Hill Sprints,Running,Cardio/Strength,"Đùi trước, Mông, Bắp chân",Advanced,450,Giày chạy,Chạy nước rút lên dốc và đi bộ chậm xuống dốc lặp lại nhiều lần
6,Chạy cự ly dài,Long Distance Run,Running,Cardio,Sức bền toàn thân,Advanced,500,Giày chạy,Chạy liên tục với cự ly dài (thường trên 10km) vào cuối tuần
7,Chạy tiến triển,Progression Run,Running,Cardio,Tim mạch,Intermediate,380,Giày chạy,Bắt đầu chạy chậm và tăng dần tốc độ cho đến khi kết thúc bài tập
8,Chạy Fartlek,Fartlek Run,Running,Cardio,"Tim mạch, Chân",Intermediate,360,Giày chạy,Chạy tự do thay đổi tốc độ tùy hứng không theo quy tắc thời gian cố định
9,Chạy cầu thang,Stair Running,Running,Cardio/Strength,"Đùi, Mông, Bắp chân",Advanced,420,Giày chạy,Chạy bật bậc cầu thang để tăng sức mạnh bùng nổ cho phần dưới
10,Đi bộ nhanh,Brisk Walking,Running,Cardio nhẹ,"Tim mạch, Chân",Beginner,150,Giày chạy,"Đi bộ với tốc độ nhanh hơn bình thường, đánh tay đều"
11,Bật nhảy toàn thân,Burpees,Home Workout,HIIT,Toàn thân,Intermediate,450,Không,"Kết hợp chống đẩy, thu chân và bật nhảy cao lên trời"
12,Leo núi chéo chân,Mountain Climbers,Home Workout,Cardio/Core,"Bụng, Vai, Chân",Intermediate,350,Thảm,"Tư thế chống đẩy, luân phiên co gối về phía ngực nhanh nhất có thể"
13,Nhảy dang tay chân,Jumping Jacks,Home Workout,Cardio,Toàn thân,Beginner,250,Không,Bật nhảy tách hai chân sang ngang và vung hai tay lên cao qua đầu
14,Nhảy hình ngôi sao,Star Jumps,Home Workout,Power/Cardio,Toàn thân,Intermediate,320,Không,"Bật nhảy lên cao, bung rộng cả 4 chi ra không trung giống hình ngôi sao"
15,Nâng cao đùi,High Knees,Home Workout,Cardio,"Bụng dưới, Chân",Beginner,300,Không,Chạy tại chỗ với đùi nâng cao song song với mặt đất
16,Gót chạm mông,Butt Kicks,Home Workout,Cardio,Đùi sau,Beginner,250,Không,"Chạy tại chỗ, gót chân đá cao ra sau chạm vào mông"
17,Nhảy dây,Jump Rope,Home Workout,Cardio,"Bắp chân, Vai, Tim mạch",Beginner,350,Dây nhảy,"Bật nhảy liên tục qua dây, giữ khuỷu tay sát thân người"
18,Nhảy thu gối,Tuck Jumps,Home Workout,Power/Cardio,"Chân, Core",Advanced,400,Không,Bật nhảy cao và thu cả hai gối về sát ngực trên không trung
19,Trượt băng sang hai bên,Skater Jumps,Home Workout,Cardio/Agility,"Mông, Đùi ngoài",Intermediate,300,Không,Bật nhảy sang ngang từ chân này sang chân kia như người trượt băng
20,Bò kiểu gấu,Bear Crawls,Home Workout,Cardio/Strength,"Vai, Core, Chân",Intermediate,340,Không,"Bò trên sàn bằng hai tay và mũi chân, giữ lưng thẳng song song mặt đất"
21,Bật nhảy gập gối,Jumping Lunges,Home Workout,Strength/Power,"Đùi, Mông",Advanced,350,Không,Thực hiện lunge và bật nhảy lên để đổi vị trí hai chân trên không trung
22,Bật bục/Bục gỗ,Box Jumps,Home Workout,Power,"Đùi trước, Mông, Bắp chân",Advanced,380,Bục/Ghế chắc chắn,Bật nhảy bằng hai chân lên một bục hoặc bề mặt cao và bước xuống
23,Hít đất cơ bản,Standard Push-ups,Home Workout,Strength,"Ngực, Vai, Tay sau (Triceps)",Beginner,200,Thảm,"Giữ lưng thẳng, hạ thấp và nâng toàn bộ cơ thể bằng lực cánh tay"
24,Hít đất rộng tay,Wide Grip Push-ups,Home Workout,Strength,Cơ ngực ngoài,Intermediate,220,Thảm,Hít đất với khoảng cách hai bàn tay đặt rộng hơn vai
25,Hít đất kim cương,Diamond Push-ups,Home Workout,Strength,"Tay sau (Triceps), Ngực trong",Advanced,250,Thảm,Hít đất với hai ngón trỏ và ngón cái chạm nhau tạo thành hình kim cương
26,Hít đất đầu gối,Knee Push-ups,Home Workout,Strength,"Ngực, Vai, Tay sau",Beginner,150,Thảm,Phiên bản hít đất nhẹ nhàng hơn với điểm tựa là hai đầu gối
